bytes	sha256	upstream_git_blob_sha1	vendored_path	upstream_path	copy_note
1080	31d5b6f4243d5c7c6e1c4ebbbb9f6407bd1457a08bcc4f706521710341acba36	ceaf3c9adca54f7d3242593dd4db8065b1611699	third_party/tree-sitter-rust/v0.24.2/LICENSE	LICENSE	byte-for-byte
38661	7b446e3b1d99d7870188c845c21744414039e07fcbfeadd37049cd497479d8f6	4a0ff4b6c3018afe465441fe7283db0894813f73	third_party/tree-sitter-rust/v0.24.2/grammar.js	grammar.js	author-comment-lines-redacted
224430	b0f58f41f5461fa141bb98d81fe8abece3056cff979c4068a2e6cddee5aa0663	ca2fac837f0183328d7b15891556cac9e6cf2f80	third_party/tree-sitter-rust/v0.24.2/src/grammar.json	src/grammar.json	byte-for-byte
99023	4b73a1248978340336100db455bf0731c23f9190568c9ae62265fa4a80a327d5	2a72d8c1f0b197584577f060571efaedacb69617	third_party/tree-sitter-rust/v0.24.2/src/node-types.json	src/node-types.json	byte-for-byte
6505510	9602518f9e57919910bf0e777e52f6bfc9325d4c182e998bdb4efd5682b76e4a	266a09eaf8d9bf7ed6813635a852776fdf4a03e7	third_party/tree-sitter-rust/v0.24.2/src/parser.c	src/parser.c	byte-for-byte
12588	9609a2f92dbb7c32bc056fd8fb94e5478428f04496696aa08b048a9b66caf283	b36fc2092e1f89543373f2b60afa77468ec4d5d5	third_party/tree-sitter-rust/v0.24.2/src/scanner.c	src/scanner.c	byte-for-byte
985	b29c1c9fb7cc82f58c84b376df1297d6e2737a1d655fd356db0859e3c29c2fea	1abdd1201578605b8d05a3001f01ebc0d58826d9	third_party/tree-sitter-rust/v0.24.2/src/tree_sitter/alloc.h	src/tree_sitter/alloc.h	byte-for-byte
7624	180b893c8734778fd32f372dfbc27bd6ad1cd2221f26150b31256ff6716320d2	858107deb9e4a1ffcd2ed5e6ffe98a5fcab3e1f6	third_party/tree-sitter-rust/v0.24.2/src/tree_sitter/parser.h	src/tree_sitter/parser.h	byte-for-byte
